product_name,primary_category,sugars_100g,proteins_100g,fat_100g,fiber_100g,nutriscore_grade
Céréales P'Tit carré Cacao & Noisettes,Nuts & Seeds,27.0,6.5,15.0,4.5,d
Peanut  Better,Nuts & Seeds,7.2,25.0,53.0,6.8,c
Manteiga de Amendoim com pedaços,Nuts & Seeds,9.7,25.6,49.0,,c
Croissant vegan,Candy & Chocolate,6.7,7.9,19.5,1.2,d
Crunchies,Candy & Chocolate,46.0,4.9,24.0,25.0,e
Snowballs créma lapte,Candy & Chocolate,51.0,6.8,37.0,1.2,e
Mini cookies,Candy & Chocolate,34.0,5.9,25.0,3.0,e
Chips de banane,Fruit Snacks,0.1,1.6,32.0,0.0,d
Protein müsli,Cereals & Granola,10.0,27.0,22.0,15.0,unknown
Jaffa milk chocolate,Candy & Chocolate,53.0,4.7,8.9,,e
Biscuits Avoine menthe,Candy & Chocolate,41.2,5.1,26.2,,e
Nocciolata,Nuts & Seeds,51.0,8.1,32.0,3.6,e
Pate a tartiner noisettes et cacao,Nuts & Seeds,57.0,3.8,34.0,2.1,e
Oreo strawberry cheesecake,Candy & Chocolate,37.0,5.1,20.0,3.0,e
Dragées chocolat d assorties,Candy & Chocolate,63.0,4.7,13.0,,unknown
Crunchy,Nuts & Seeds,6.3,24.0,53.0,6.8,c
Pistaches en poudre,Nuts & Seeds,4.5,18.0,56.0,11.0,a
Pâte à tartiner chocolat cacahouète,Spreads & Dips,23.0,17.0,39.9,,e
Croissants 65G c10,Candy & Chocolate,7.31,7.47,18.92,2.21,e
Croissants,Candy & Chocolate,6.0,8.2,18.2,1.4,d
Ice cream sticks Vanilla,Ice Cream & Frozen,1.1,12.0,5.2,,b
Muesli croustillant aux fruits,Cereals & Granola,24.0,9.1,16.0,6.7,c
Oma's Tuin,Spreads & Dips,46.0,0.4,0.3,2.8,unknown
Abricots secs,Fruit Snacks,43.0,5.0,0.5,,unknown
Vasluianca,Spreads & Dips,29.55,0.329,0.034,0.441,unknown
Chamallows,Candy & Chocolate,68.0,3.5,0.5,,e
Beurre de cacahuètes,Nuts & Seeds,3.8,27.7,54.3,6.7,c
GOURMET HUMMUS,Spreads & Dips,0.7,6.0,16.0,,c
Barre de chocolat orange Mondelēz international,Candy & Chocolate,61.0,2.9,32.0,1.2,e
Barres protéinées chocolat blanc cacahuètes,Protein & Sport,3.4,33.0,20.0,4.1,not-applicable
Kuku Ruku Crackers,Chips & Savoury Snacks,9.4,9.6,22.0,,e
Chocolaté Assortment,Candy & Chocolate,63.0,3.2,22.0,,unknown
Farine de coco,Fruit Snacks,19.9,21.4,12.7,33.1,d
Mochi bubble milk tea,Candy & Chocolate,20.0,2.8571428571429,5.7142857142857,0.0,unknown
Noix de macadamia,Nuts & Seeds,4.57,7.91,75.8,8.6,unknown
protein bar chocolate toffee brownie flavour,Protein & Sport,1.7,24.0,13.0,18.0,not-applicable
Cliff Bar Chocolate Chip,Candy & Chocolate,26.0,15.0,9.0,7.9,c
Petit beurre,Candy & Chocolate,22.9,6.5,8.7,0.0,d
Bio erdnussmus,Nuts & Seeds,5.8,26.0,50.0,8.3,unknown
La CREMA,Nuts & Seeds,2.6,3.7,29.0,7.5,unknown
Natù arachidi,Nuts & Seeds,6.8,23.0,52.0,4.6,b
Gaufres de Bruxelles,Candy & Chocolate,2.9,7.9,20.0,2.2,c
Nut butter,Nuts & Seeds,4.6,18.0,48.0,3.6,d
Muesli miel,Cereals & Granola,1.0,9.9,18.0,5.8,c
Rockaleta,Candy & Chocolate,79.1666666666667,0.0,0.0,0.0,e
Amaretti morbidi mandorla e pistacchio,Candy & Chocolate,43.1,11.7,22.0,,d
Cantucci alla mandorla,Candy & Chocolate,35.5,12.5,12.5,,d
Crème à tartiner à la noisette,Spreads & Dips,57.1,4.1,34.0,1.5,e
Orejones de albaricoque,Fruit Snacks,34.9,2.8,0.5,6.5,c
Trèsor,Cereals & Granola,26.0,6.6,16.0,3.6,e
Il biscotto dei bambini,Candy & Chocolate,23.0,8.7,8.0,2.7,d
Garrofina,Spreads & Dips,10.92,9.4,46.4,,d
Cioccolata calda,Candy & Chocolate,4.6,63.0,4.3,8.2,d
Curiously Strong Mints,Candy & Chocolate,96.0,0.9,0.5,0.1,e
Jacob’s Biscults for Cheese Selection,Candy & Chocolate,3.5,9.2,18.7,4.2,d
Cookies Belgian chocolate chunk,Candy & Chocolate,37.4,5.4,26.0,2.8,e
